Open,Close,High,Low,Volume,Date
2281.53,2299.62,2301.13,2266.1,,04/03/24
2250.14,2280.56,2280.96,2247.1,,04/02/24
2232.9,2250.88,2265.53,2228.88,,04/01/24
2232.9,2232.9,2232.9,2232.9,,03/31/24
2232.9,2232.9,2232.9,2232.9,,03/30/24
2232.9,2232.9,2232.9,2232.9,,03/29/24
2191.32,2232.9,2234.05,2187.48,,03/28/24
2178.69,2191,2197.51,2173.86,,03/27/24
2172.68,2179.12,2199.88,2167.97,,03/26/24
2166.82,2172.3,2181,2163.97,,03/25/24
0,2165.99,2167.89,2165.3,,03/24/24
2165.4,2165.4,2165.4,2165.4,,03/23/24
2181.34,2165.4,2186.05,2157.45,,03/22/24
2198.65,2181.19,2211.7,2166.75,,03/21/24
2158.51,2202.2,2211.65,2149.7,,03/20/24
2161.23,2158.53,2162.8,2147.45,,03/19/24
2155.21,2161.1,2163.4,2146.2,,03/18/24
2155.92,2154.95,2156.1,2152.3,,03/17/24
2155.92,2155.92,2155.92,2155.92,,03/16/24
2161.71,2155.92,2172.55,2155.29,,03/15/24
2175.65,2161.64,2176.99,2152.95,,03/14/24
2158.63,2175.05,2179.15,2155.94,,03/13/24
2182.45,2159.15,2184.6,2151.34,,03/12/24
2178.53,2181.25,2188.73,2175.7,,03/11/24
2177.85,2178.21,2181.44,2177.85,,03/10/24
2177.85,2177.85,2177.85,2177.85,,03/09/24
2159.08,2177.85,2195,2154.1,,03/08/24
2148,2160.04,2163.68,2144.46,,03/07/24
2127.28,2148.33,2152.25,2123.7,,03/06/24
2114.19,2128,2141.6,2110.65,,03/05/24
2083.1,2114.5,2119.7,2079.58,,03/04/24
2083.65,2083.65,2083.65,2083.65,,03/03/24
2083.65,2083.65,2083.65,2083.65,,03/02/24
2043.5,2083.65,2088.28,2039.17,,03/01/24
2035.28,2044.4,2050.57,2028.25,,02/29/24
2030.09,2034.56,2037.6,2024.63,,02/28/24
2031,2030.54,2039.47,2028.87,,02/27/24
2033.23,2031.29,2036.93,2025.66,,02/26/24
2036,2036,2036,2036,,02/25/24
2036,2036,2036,2036,,02/24/24
2024.58,2036,2041.12,2016.4,,02/23/24
2026.29,2024.59,2034.69,2020,,02/22/24
2024.19,2025.89,2031.99,2020.4,,02/21/24
2017.26,2024.12,2030.79,2015.2,,02/20/24
2013.63,2016.93,2022.85,2012.13,,02/19/24
2013.43,2013.43,2013.43,2013.43,,02/18/24
2013.43,2013.43,2013.43,2013.43,,02/17/24
2004.74,2013.43,2015.21,1995.69,,02/16/24
1993.13,2004.03,2008.2,1990.44,,02/15/24
1992.22,1991.82,1996.1,1985.1,,02/14/24
2019.69,1993.23,2029.79,1990.4,,02/13/24
2026.57,2020.1,2027.65,2012.03,,02/12/24
2024.47,2024.47,2024.47,2024.47,,02/11/24
2024.47,2024.47,2024.47,2024.47,,02/10/24
2034.87,2024.47,2037.05,2020.47,,02/09/24
2035.77,2034.36,2038.62,2020.45,,02/08/24
2035.68,2035.13,2044.6,2030.75,,02/07/24
2025.43,2036.16,2038.85,2023.05,,02/06/24
2041.26,2024.88,2041.75,2015.05,,02/05/24
2038.8,2038.8,2038.8,2038.8,,02/04/24
2038.8,2038.8,2038.8,2038.8,,02/03/24
2054.89,2038.8,2057.5,2028.1,,02/02/24
2040.62,2054.8,2065.2,2030.35,,02/01/24
2036.44,2039.1,2055.97,2031.15,,01/31/24
2032.69,2037,2048.39,2029.23,,01/30/24
2024.4,2032.16,2037.31,2019.41,,01/29/24
2018.71,2018.25,2019,2018.12,,01/28/24
2018.71,2018.71,2018.71,2018.71,,01/27/24
2020.19,2018.71,2026.25,2016.1,,01/26/24
2016.18,2020.89,2025.12,2011,,01/25/24
2029.41,2014.24,2036.65,2011.5,,01/24/24
2021.81,2029.24,2037.8,2019.7,,01/23/24
2027.85,2021.73,2032.25,2017.2,,01/22/24
2029.68,2029.68,2029.68,2029.68,,01/21/24
2029.68,2029.68,2029.68,2029.68,,01/20/24
2023.93,2029.68,2038.55,2020.54,,01/19/24
2007.51,2023.13,2023.34,2005.95,,01/18/24
2027.75,2006.4,2032.71,2002.1,,01/17/24
2055.42,2028.52,2055.55,2024.42,,01/16/24
2048.5,2054.79,2058.6,2046.05,,01/15/24
2049.03,2049.03,2049.03,2049.03,,01/14/24
2049.03,2049.03,2049.03,2049.03,,01/13/24
2029.69,2049.03,2061.95,2029.64,,01/12/24
2025.7,2029.26,2039.55,2013.45,,01/11/24
2030.55,2025.87,2039.75,2020.63,,01/10/24
2028.49,2030.28,2041.16,2026.3,,01/09/24
2044.9,2028.89,2046.61,2018.6,,01/08/24
2045.85,2045.85,2045.85,2045.85,,01/07/24
