Open,Close,High,Low,Volume,Date
25.09,26.14,26.17,25.08,,04/02/24
25.06,25.11,25.39,24.76,,04/01/24
25.04,25.04,25.04,25.04,,03/31/24
25.04,25.04,25.04,25.04,,03/30/24
25.04,25.04,25.04,25.04,,03/29/24
24.58,25.04,25.04,24.39,,03/28/24
24.41,24.58,24.69,24.33,,03/27/24
24.67,24.42,24.89,24.37,,03/26/24
24.68,24.67,24.89,24.56,,03/25/24
0,24.64,24.71,24.64,,03/24/24
24.68,24.68,24.68,24.68,,03/23/24
24.76,24.68,24.95,24.41,,03/22/24
25.6,24.75,25.77,24.65,,03/21/24
24.92,25.66,25.73,24.75,,03/20/24
25.02,24.91,25.15,24.74,,03/19/24
25.19,25.03,25.19,25.02,,03/18/24
25.19,25.19,25.19,25.19,,03/17/24
25.19,25.19,25.19,25.19,,03/16/24
24.82,25.19,25.44,24.81,,03/15/24
25.04,24.82,25.15,24.74,,03/14/24
24.15,25.04,25.06,24.08,,03/13/24
24.49,24.14,24.69,24.02,,03/12/24
24.33,24.49,24.53,24.24,,03/11/24
24.32,24.35,24.43,24.32,,03/10/24
24.32,24.32,24.62,24.18,,03/08/24
24.16,24.34,24.51,24.01,,03/07/24
23.67,24.17,24.3,23.58,,03/06/24
23.92,23.72,24.22,23.63,,03/05/24
23.12,23.89,23.94,23.02,,03/04/24
